energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.782,0.0757,140.004,0.0506,0.0577,4.16e-05,4,0.565,8,231906,-6.413,0.4,1,audio_features,spotify:track:2habSXqcJGExM6JJyskY7O
0.719,0.424,140.088,0.0765,0.00747,2.09e-05,4,0.702,2,197800,-6.039,0.587,1,audio_features,spotify:track:7kpo5P2UutT9NGKgWvyvqq
0.832,0.291,120.032,0.116,0.0746,1.27e-06,4,0.755,2,199693,-2.741,0.735,0,audio_features,spotify:track:5OMwQFBcte0aWFJFqrr5oj
0.744,0.359,171.374,0.257,0.00868,0.000423,4,0.692,2,326467,-4.565,0.0612,1,audio_features,spotify:track:5Z01UMMf7V1o0MzF86s6WJ
0.873,0.123,84.803,0.0565,0.0653,0.0,4,0.421,10,202533,-4.343,0.63,1,audio_features,spotify:track:1X1DWw2pcNZ8zSub3uhlNz
0.909,0.141,97.996,0.0475,0.034,0.00938,4,0.518,0,248213,-6.76,0.634,1,audio_features,spotify:track:7CtDhF1n21sd9FVKQR1XTx
0.928,0.0822,184.052,0.0586,4.28e-05,9.97e-05,4,0.29,10,228720,-2.402,0.588,0,audio_features,spotify:track:62ovcuwlrPHfLxueBGokp1
0.694,0.316,176.897,0.0961,0.0101,0.0313,3,0.334,7,262600,-7.41,0.166,1,audio_features,spotify:track:4y5pvUsy617AUKl4l25lk8
0.592,0.132,104.016,0.0276,0.209,5.08e-05,4,0.563,9,267933,-4.571,0.136,1,audio_features,spotify:track:11bD1JtSjlIgKgZG2134DZ
0.82,0.704,129.969,0.0475,0.179,0.0,4,0.768,7,213293,-4.63,0.625,0,audio_features,spotify:track:2V4bv1fNWfTcyRJKmej6Sj
0.545,0.0963,74.897,0.0688,0.365,0.0,4,0.479,7,252733,-7.346,0.244,1,audio_features,spotify:track:6GmUVqe73u5YRfUUynZK6I
0.812,0.092,100.02,0.0617,0.0534,0.0,4,0.512,1,249500,-4.809,0.521,1,audio_features,spotify:track:1TnUURhehaoMWKAqQtirm6
0.783,0.0759,99.726,0.0448,0.0111,1.15e-06,4,0.31,4,232907,-5.345,0.123,1,audio_features,spotify:track:0PVd8pJKhyAtDS1V0r2llI
0.447,0.139,126.079,0.0292,0.611,1e-06,4,0.664,1,245347,-8.535,0.364,1,audio_features,spotify:track:5YbZZ2gYfvW1UvHHF4pVaD
0.486,0.113,147.952,0.0273,0.373,0.0,4,0.498,1,263987,-7.384,0.17,1,audio_features,spotify:track:6S9G7J3EB1ZY0rrZPwsBg5
0.67,0.334,141.893,0.0303,0.117,0.0,4,0.529,2,293027,-4.663,0.286,1,audio_features,spotify:track:3DrjZArsPsoqbLzUZZV1Id
0.787,0.163,114.987,0.0308,0.0396,1.42e-06,4,0.605,5,260933,-3.002,0.374,1,audio_features,spotify:track:6d9IiDcFxtFVIvt9pCqyGH
0.791,0.118,94.933,0.0402,0.00245,0.00258,4,0.588,7,231000,-5.595,0.487,1,audio_features,spotify:track:1fo2ctLqj3zBhRQKOXprol
0.785,0.148,160.02,0.165,0.0561,0.0,4,0.648,7,219200,-5.414,0.943,1,audio_features,spotify:track:5xTtaWoae3wi06K5WfVUUH
0.675,0.237,99.97,0.0429,0.1,0.0,4,0.54,10,169773,-6.449,0.348,0,audio_features,spotify:track:7kftK4n15rl1wbpfjSq2Tk
0.463,0.109,111.98,0.0396,0.256,0.085,4,0.809,11,298941,-11.377,0.364,1,audio_features,spotify:track:5mCPDVBb16L4XQwDdbRUpz
0.841,0.121,167.969,0.0464,0.00593,0.0573,4,0.608,0,187761,-3.798,0.274,1,audio_features,spotify:track:0oP9pK1D1lNF3Lb7jkl6Xx
0.676,0.107,134.944,0.0308,0.0355,0.0,4,0.673,1,201601,-5.002,0.57,1,audio_features,spotify:track:6QV0jXpL3RHVkN2g8C7mvh
0.911,0.0908,108.0,0.0278,0.0686,0.00188,4,0.615,1,205400,-3.584,0.685,0,audio_features,spotify:track:1r1fPuhj9H4VdXr7OK6FL5
0.705,0.109,168.152,0.0311,0.43,0.0,4,0.566,0,279400,-7.569,0.781,1,audio_features,spotify:track:7xUVverKyPPPAW3sDqXhfi
0.868,0.137,171.96,0.0614,0.0604,0.0,4,0.549,2,184667,-4.319,0.755,1,audio_features,spotify:track:6twW4ma6w0mOeejejPK0nY
0.762,0.0809,107.983,0.0384,0.0219,0.0,4,0.622,5,231905,-5.578,0.645,1,audio_features,spotify:track:16KGdBYIYAPRc59stmNb5k
0.589,0.0768,133.631,0.0331,0.231,0.0,4,0.437,4,239587,-4.834,0.165,1,audio_features,spotify:track:0CnD7Hiw6pae6rLsZw5q5W
0.702,0.159,99.031,0.0261,0.216,0.0,4,0.689,6,213600,-5.642,0.484,0,audio_features,spotify:track:6e40mgJiCid5HRAGrbpGA6
0.847,0.0816,171.447,0.186,0.0622,0.0,4,0.548,1,297787,-3.237,0.1,1,audio_features,spotify:track:4xkOaSrkexMciUUogZKVTS
0.575,0.109,120.019,0.0302,0.0259,0.0,4,0.518,5,340707,-4.616,0.209,1,audio_features,spotify:track:5ELRkzdzz0HvGpMDlfZHkV
0.89,0.0826,97.012,0.0418,0.182,0.0,4,0.677,1,216773,-4.448,0.764,0,audio_features,spotify:track:24YvUQnuPL8gObCfSnAobH
